tier,arm,depth,conversation_id,question_index,ability,score,context_chars,context_tokens,n_retrieved,response_chars,prompt_tokens,completion_tokens,reader_model,reader_effort,judge_model,judge_effort,config_id
100k,A control,50,1,16,temporal_reasoning,0.25,26213.0,6553.0,50.0,157.0,6120.0,398.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,17,temporal_reasoning,1.0,24049.0,6012.0,50.0,141.0,5690.0,356.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,0,abstention,1.0,22436.0,5609.0,50.0,56.0,5305.0,115.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,1,abstention,0.0,30791.0,7698.0,50.0,913.0,6985.0,1151.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,2,contradiction_resolution,0.875,25966.0,6492.0,50.0,253.0,5962.0,339.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,3,contradiction_resolution,1.0,23618.0,5905.0,50.0,383.0,5645.0,617.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,4,information_extraction,1.0,23198.0,5800.0,50.0,85.0,5478.0,130.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,5,information_extraction,1.0,31926.0,7982.0,50.0,2258.0,7462.0,1536.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,6,instruction_following,1.0,20750.0,5188.0,50.0,61.0,4934.0,153.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,7,instruction_following,1.0,25653.0,6413.0,50.0,1679.0,6261.0,2472.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,8,knowledge_update,0.0,30059.0,7515.0,50.0,58.0,7234.0,205.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,9,knowledge_update,1.0,25471.0,6368.0,50.0,147.0,5975.0,209.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,10,multi_session_reasoning,1.0,24663.0,6166.0,50.0,143.0,6379.0,213.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,11,multi_session_reasoning,0.875,32452.0,8113.0,50.0,3532.0,7226.0,1754.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,12,preference_following,0.5,28333.0,7083.0,50.0,1821.0,6568.0,937.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,13,preference_following,0.25,29651.0,7413.0,50.0,3435.0,6751.0,2756.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,14,summarization,0.6,29453.0,7363.0,50.0,4179.0,6713.0,1332.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,15,summarization,0.625,30363.0,7591.0,50.0,7821.0,6941.0,4135.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,16,temporal_reasoning,1.0,25391.0,6348.0,50.0,115.0,6130.0,203.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,10,17,temporal_reasoning,0.25,27303.0,6826.0,50.0,174.0,6643.0,225.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,0,abstention,0.0,29873.0,7468.0,50.0,1362.0,6453.0,785.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,1,abstention,0.0,31718.0,7930.0,50.0,430.0,6887.0,250.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,2,contradiction_resolution,0.75,24058.0,6015.0,50.0,269.0,5408.0,279.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,3,contradiction_resolution,0.875,29943.0,7486.0,50.0,380.0,6424.0,605.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,4,information_extraction,1.0,18536.0,4634.0,50.0,79.0,4500.0,163.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,5,information_extraction,0.8333,36479.0,9120.0,50.0,1110.0,7426.0,458.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,6,instruction_following,1.0,29759.0,7440.0,50.0,2435.0,6388.0,993.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,7,instruction_following,1.0,29355.0,7339.0,50.0,1942.0,6351.0,838.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,8,knowledge_update,0.0,31818.0,7955.0,50.0,111.0,6712.0,145.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,9,knowledge_update,0.0,32282.0,8071.0,50.0,133.0,6887.0,207.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,10,multi_session_reasoning,1.0,26904.0,6726.0,50.0,373.0,5918.0,511.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,11,multi_session_reasoning,0.75,35435.0,8859.0,50.0,4328.0,7384.0,2933.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,12,preference_following,1.0,27133.0,6783.0,50.0,5606.0,5884.0,5223.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,13,preference_following,1.0,31883.0,7971.0,50.0,3977.0,6653.0,1245.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,14,summarization,0.75,32303.0,8076.0,50.0,12978.0,6815.0,4507.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,15,summarization,1.0,35106.0,8777.0,50.0,11111.0,7273.0,8104.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,16,temporal_reasoning,1.0,21630.0,5408.0,50.0,128.0,4948.0,230.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,11,17,temporal_reasoning,1.0,29465.0,7366.0,50.0,138.0,6577.0,224.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,0,abstention,1.0,30797.0,7699.0,50.0,56.0,6687.0,152.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,1,abstention,1.0,22911.0,5728.0,50.0,658.0,5351.0,678.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,2,contradiction_resolution,0.5,17049.0,4262.0,50.0,285.0,4255.0,476.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,3,contradiction_resolution,0.875,22627.0,5657.0,50.0,472.0,5208.0,414.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,4,information_extraction,1.0,20098.0,5025.0,50.0,98.0,4868.0,547.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,5,information_extraction,0.875,29768.0,7442.0,50.0,1795.0,6483.0,824.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,6,instruction_following,0.5,29539.0,7385.0,50.0,695.0,6412.0,501.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,7,instruction_following,1.0,28291.0,7073.0,50.0,4127.0,6221.0,1830.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,8,knowledge_update,0.0,20823.0,5206.0,50.0,76.0,5014.0,97.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,9,knowledge_update,0.0,24021.0,6005.0,50.0,56.0,5544.0,349.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,10,multi_session_reasoning,1.0,27756.0,6939.0,50.0,1037.0,6191.0,749.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,11,multi_session_reasoning,1.0,26051.0,6513.0,50.0,3642.0,5796.0,2731.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,12,preference_following,1.0,27499.0,6875.0,50.0,3601.0,6098.0,1248.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,13,preference_following,0.75,25457.0,6364.0,50.0,2605.0,5734.0,1069.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,14,summarization,0.5,27527.0,6882.0,50.0,3726.0,6075.0,2235.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,15,summarization,0.625,29190.0,7298.0,50.0,5124.0,6270.0,3564.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,16,temporal_reasoning,0.25,22685.0,5671.0,50.0,168.0,5350.0,288.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,12,17,temporal_reasoning,0.75,24825.0,6206.0,50.0,109.0,5541.0,128.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,0,abstention,0.0,26209.0,6552.0,50.0,199.0,6521.0,337.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,1,abstention,1.0,25616.0,6404.0,50.0,56.0,6329.0,163.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,2,contradiction_resolution,0.5,21717.0,5429.0,50.0,180.0,5367.0,368.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,3,contradiction_resolution,0.5,25592.0,6398.0,50.0,207.0,6365.0,361.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,4,information_extraction,0.0,23855.0,5964.0,50.0,92.0,6113.0,263.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,5,information_extraction,0.25,29153.0,7288.0,50.0,1777.0,6991.0,1422.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,6,instruction_following,0.75,26076.0,6519.0,50.0,2159.0,6480.0,1000.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,7,instruction_following,1.0,25856.0,6464.0,50.0,2225.0,6239.0,1012.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,8,knowledge_update,1.0,26154.0,6539.0,50.0,87.0,6456.0,27.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,9,knowledge_update,0.5,25584.0,6396.0,50.0,248.0,6165.0,420.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,10,multi_session_reasoning,0.5,28021.0,7005.0,50.0,406.0,6633.0,3210.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,11,multi_session_reasoning,0.5,29300.0,7325.0,50.0,3147.0,6931.0,2195.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,12,preference_following,1.0,24954.0,6239.0,50.0,1707.0,6052.0,1416.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,13,preference_following,1.0,26501.0,6625.0,50.0,1793.0,6771.0,1442.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,14,summarization,0.5833,30469.0,7617.0,50.0,6658.0,7370.0,1857.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,15,summarization,0.4,27092.0,6773.0,50.0,4762.0,6487.0,3021.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,16,temporal_reasoning,1.0,26805.0,6701.0,50.0,97.0,6696.0,168.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,13,17,temporal_reasoning,1.0,26544.0,6636.0,50.0,188.0,6663.0,476.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,0,abstention,1.0,24573.0,6143.0,50.0,56.0,7075.0,111.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,1,abstention,0.0,28284.0,7071.0,50.0,281.0,7430.0,582.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,2,contradiction_resolution,0.75,25146.0,6287.0,50.0,414.0,6980.0,644.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,3,contradiction_resolution,0.5,20659.0,5165.0,50.0,457.0,5596.0,413.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,4,information_extraction,1.0,18362.0,4591.0,50.0,60.0,5145.0,59.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,5,information_extraction,0.5,22337.0,5584.0,50.0,987.0,6153.0,703.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,6,instruction_following,1.0,21060.0,5265.0,50.0,1820.0,6014.0,964.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,7,instruction_following,1.0,28473.0,7118.0,50.0,1271.0,7783.0,802.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,8,knowledge_update,0.0,31158.0,7790.0,50.0,237.0,8283.0,414.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,9,knowledge_update,0.0,23544.0,5886.0,50.0,60.0,6588.0,213.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,10,multi_session_reasoning,0.0,25513.0,6378.0,50.0,435.0,7084.0,2738.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,11,multi_session_reasoning,0.875,29447.0,7362.0,50.0,3087.0,7752.0,7996.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,12,preference_following,0.75,22407.0,5602.0,50.0,1486.0,6055.0,869.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,13,preference_following,1.0,21290.0,5323.0,50.0,1479.0,5761.0,1369.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,14,summarization,0.625,27165.0,6791.0,50.0,6821.0,7318.0,4932.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,15,summarization,0.8333,26686.0,6672.0,50.0,2753.0,7288.0,1640.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,16,temporal_reasoning,1.0,25161.0,6290.0,50.0,158.0,6833.0,157.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,14,17,temporal_reasoning,1.0,24437.0,6109.0,50.0,131.0,6652.0,124.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,0,abstention,1.0,25820.0,6455.0,50.0,56.0,6147.0,129.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,1,abstention,1.0,23335.0,5834.0,50.0,56.0,5620.0,70.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,2,contradiction_resolution,0.875,18928.0,4732.0,50.0,403.0,4819.0,593.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,3,contradiction_resolution,0.5,23995.0,5999.0,50.0,392.0,5761.0,463.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,4,information_extraction,0.0,21459.0,5365.0,50.0,191.0,5356.0,281.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,5,information_extraction,1.0,29403.0,7351.0,50.0,112.0,6895.0,131.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,6,instruction_following,1.0,22483.0,5621.0,50.0,5054.0,5525.0,1598.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,7,instruction_following,1.0,26542.0,6636.0,50.0,3838.0,6180.0,2870.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,8,knowledge_update,1.0,29133.0,7283.0,50.0,55.0,6959.0,169.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,9,knowledge_update,1.0,24168.0,6042.0,50.0,99.0,5904.0,225.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,10,multi_session_reasoning,0.5,23709.0,5927.0,50.0,62.0,5716.0,257.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,11,multi_session_reasoning,1.0,25330.0,6333.0,50.0,309.0,6265.0,250.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,12,preference_following,1.0,24906.0,6227.0,50.0,2273.0,5969.0,1026.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,13,preference_following,1.0,22753.0,5688.0,50.0,1860.0,5472.0,930.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,14,summarization,0.5,22207.0,5552.0,50.0,5579.0,5413.0,2651.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,15,summarization,0.6,29801.0,7450.0,50.0,2876.0,6995.0,2199.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,16,temporal_reasoning,1.0,21139.0,5285.0,50.0,98.0,5360.0,79.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,15,17,temporal_reasoning,1.0,23753.0,5938.0,50.0,167.0,5774.0,403.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,0,abstention,0.0,27295.0,6824.0,50.0,2465.0,6405.0,1855.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,1,abstention,1.0,27528.0,6882.0,50.0,56.0,6679.0,164.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,2,contradiction_resolution,0.5,23978.0,5995.0,50.0,258.0,5902.0,420.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,3,contradiction_resolution,0.75,26343.0,6586.0,50.0,361.0,6123.0,596.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,4,information_extraction,1.0,21308.0,5327.0,50.0,93.0,5431.0,69.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,5,information_extraction,1.0,30255.0,7564.0,50.0,797.0,7311.0,704.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,6,instruction_following,1.0,20482.0,5121.0,50.0,247.0,5117.0,299.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,7,instruction_following,1.0,30154.0,7539.0,50.0,1329.0,6997.0,1343.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,8,knowledge_update,1.0,28064.0,7016.0,50.0,82.0,6708.0,268.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,9,knowledge_update,0.0,26308.0,6577.0,50.0,198.0,6365.0,492.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,10,multi_session_reasoning,1.0,25844.0,6461.0,50.0,125.0,6467.0,132.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,11,multi_session_reasoning,1.0,26448.0,6612.0,50.0,2119.0,6256.0,3596.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,12,preference_following,0.5,27466.0,6867.0,50.0,4281.0,6775.0,4654.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,13,preference_following,1.0,24512.0,6128.0,50.0,5358.0,5968.0,1598.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,14,summarization,0.7143,31424.0,7856.0,50.0,4575.0,7064.0,1910.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,15,summarization,0.625,31855.0,7964.0,50.0,5928.0,7375.0,3257.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,16,temporal_reasoning,1.0,21260.0,5315.0,50.0,159.0,5305.0,561.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,16,17,temporal_reasoning,1.0,26449.0,6612.0,50.0,199.0,6592.0,410.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,17,0,abstention,0.0,31670.0,7918.0,50.0,527.0,7425.0,644.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,17,1,abstention,1.0,22227.0,5557.0,50.0,56.0,5649.0,101.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,17,2,contradiction_resolution,0.875,22647.0,5662.0,50.0,417.0,5687.0,621.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,17,3,contradiction_resolution,0.5,24348.0,6087.0,50.0,187.0,5949.0,215.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,17,4,information_extraction,1.0,24587.0,6147.0,50.0,102.0,6021.0,27.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
