tier,arm,depth,conversation_id,question_index,ability,score,context_chars,context_tokens,n_retrieved,response_chars,prompt_tokens,completion_tokens,reader_model,reader_effort,judge_model,judge_effort,config_id
1m,B csls,50,1,12,preference_following,1.0,25325.0,6331.0,50.0,9625.0,5818.0,7751.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,13,preference_following,0.25,26162.0,6541.0,50.0,5044.0,5779.0,2647.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,14,summarization,0.4375,31368.0,7842.0,50.0,20707.0,6791.0,9806.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,15,summarization,0.2222,28587.0,7147.0,50.0,20943.0,6400.0,9900.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,16,temporal_reasoning,1.0,20449.0,5112.0,50.0,133.0,4962.0,165.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,17,temporal_reasoning,0.25,25687.0,6422.0,50.0,151.0,6307.0,423.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,0,abstention,0.0,25551.0,6388.0,50.0,750.0,5929.0,496.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,1,abstention,0.0,29741.0,7435.0,50.0,756.0,7088.0,686.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,2,contradiction_resolution,1.0,22725.0,5681.0,50.0,649.0,5772.0,455.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,3,contradiction_resolution,1.0,27462.0,6866.0,50.0,693.0,6855.0,429.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,4,information_extraction,1.0,30532.0,7633.0,50.0,104.0,7530.0,32.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,5,information_extraction,1.0,27700.0,6925.0,50.0,1707.0,7563.0,2001.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,6,instruction_following,1.0,29337.0,7334.0,50.0,2346.0,7189.0,1303.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,7,instruction_following,1.0,28590.0,7148.0,50.0,2357.0,6821.0,1076.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,8,knowledge_update,1.0,29222.0,7306.0,50.0,100.0,7161.0,155.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,9,knowledge_update,1.0,21045.0,5261.0,50.0,67.0,5526.0,212.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,10,multi_session_reasoning,1.0,27471.0,6868.0,50.0,384.0,6880.0,263.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,11,multi_session_reasoning,0.8333,32104.0,8026.0,50.0,3859.0,7600.0,2099.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,12,preference_following,1.0,29171.0,7293.0,50.0,3070.0,7079.0,1789.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,13,preference_following,0.5,20997.0,5249.0,50.0,2702.0,5447.0,2011.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,14,summarization,0.7,21242.0,5311.0,50.0,5032.0,6274.0,6678.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,15,summarization,0.8,23777.0,5944.0,50.0,8182.0,6327.0,11637.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,16,temporal_reasoning,0.75,31174.0,7794.0,50.0,190.0,7631.0,419.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,10,17,temporal_reasoning,1.0,24335.0,6084.0,50.0,217.0,6059.0,335.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,0,abstention,1.0,19656.0,4914.0,50.0,56.0,4472.0,1001.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,1,abstention,1.0,22286.0,5572.0,50.0,56.0,4999.0,111.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,2,contradiction_resolution,0.375,22199.0,5550.0,50.0,285.0,4723.0,1004.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,3,contradiction_resolution,1.0,19510.0,4878.0,50.0,380.0,4651.0,482.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,4,information_extraction,1.0,13891.0,3473.0,50.0,106.0,3432.0,167.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,5,information_extraction,1.0,22594.0,5649.0,50.0,752.0,5007.0,491.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,6,instruction_following,1.0,23679.0,5920.0,50.0,2979.0,5270.0,1021.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,7,instruction_following,1.0,22191.0,5548.0,50.0,1210.0,4980.0,769.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,8,knowledge_update,0.0,24172.0,6043.0,50.0,69.0,5534.0,126.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,9,knowledge_update,1.0,18173.0,4543.0,50.0,79.0,4255.0,187.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,10,multi_session_reasoning,0.25,22972.0,5743.0,50.0,131.0,5177.0,351.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,11,multi_session_reasoning,0.9,20931.0,5233.0,50.0,4095.0,4868.0,5547.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,12,preference_following,1.0,19988.0,4997.0,50.0,4410.0,4517.0,1728.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,13,preference_following,0.3333,28358.0,7090.0,50.0,2244.0,6198.0,754.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,14,summarization,0.625,34209.0,8552.0,50.0,25511.0,7085.0,8721.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,15,summarization,0.875,31028.0,7757.0,50.0,30024.0,6694.0,14998.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,16,temporal_reasoning,1.0,18116.0,4529.0,50.0,79.0,4483.0,542.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,11,17,temporal_reasoning,1.0,22914.0,5729.0,50.0,147.0,5200.0,216.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,0,abstention,1.0,14487.0,3622.0,50.0,56.0,3442.0,263.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,1,abstention,1.0,20866.0,5217.0,50.0,56.0,4605.0,92.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,2,contradiction_resolution,0.5,17906.0,4477.0,50.0,187.0,4112.0,361.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,3,contradiction_resolution,0.75,16468.0,4117.0,50.0,173.0,3962.0,210.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,4,information_extraction,1.0,17983.0,4496.0,50.0,78.0,4181.0,101.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,5,information_extraction,0.5,19105.0,4776.0,50.0,583.0,4359.0,626.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,6,instruction_following,0.5,20586.0,5147.0,50.0,112.0,5230.0,134.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,7,instruction_following,1.0,19437.0,4859.0,50.0,798.0,4367.0,674.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,8,knowledge_update,1.0,18238.0,4560.0,50.0,302.0,4238.0,1622.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,9,knowledge_update,1.0,26131.0,6533.0,50.0,125.0,5533.0,122.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,10,multi_session_reasoning,1.0,23866.0,5967.0,50.0,156.0,5199.0,214.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,11,multi_session_reasoning,0.75,18458.0,4615.0,50.0,8352.0,4257.0,6129.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,12,preference_following,0.8333,18028.0,4507.0,50.0,4187.0,4322.0,2469.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,13,preference_following,1.0,25042.0,6261.0,50.0,1890.0,5537.0,880.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,14,summarization,0.4,23604.0,5901.0,50.0,14175.0,5288.0,4622.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,15,summarization,0.5,20485.0,5121.0,50.0,5114.0,4740.0,3560.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,16,temporal_reasoning,0.5,19505.0,4876.0,50.0,132.0,4542.0,331.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,12,17,temporal_reasoning,1.0,15915.0,3979.0,50.0,212.0,3873.0,536.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,0,abstention,1.0,20298.0,5075.0,50.0,56.0,4595.0,519.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,1,abstention,0.0,26601.0,6650.0,50.0,9332.0,6777.0,11587.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,2,contradiction_resolution,0.75,20468.0,5117.0,50.0,388.0,4686.0,408.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,3,contradiction_resolution,0.75,21673.0,5418.0,50.0,820.0,4874.0,689.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,4,information_extraction,1.0,22693.0,5673.0,50.0,77.0,5670.0,23.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,5,information_extraction,1.0,23929.0,5982.0,50.0,2162.0,5586.0,885.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,6,instruction_following,1.0,22417.0,5604.0,50.0,1684.0,5278.0,1441.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,7,instruction_following,1.0,20200.0,5050.0,50.0,654.0,4603.0,485.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,8,knowledge_update,1.0,26760.0,6690.0,50.0,145.0,6265.0,105.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,9,knowledge_update,1.0,26639.0,6660.0,50.0,520.0,5767.0,625.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,10,multi_session_reasoning,0.6667,21114.0,5279.0,50.0,195.0,5129.0,578.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,11,multi_session_reasoning,0.8333,29674.0,7419.0,50.0,6740.0,7247.0,12462.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,12,preference_following,1.0,22531.0,5633.0,50.0,6580.0,5185.0,1939.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,13,preference_following,1.0,33326.0,8332.0,50.0,4029.0,7308.0,1832.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,14,summarization,0.7143,31940.0,7985.0,50.0,16766.0,6933.0,11115.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,15,summarization,0.6875,32871.0,8218.0,50.0,21901.0,7095.0,13760.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,16,temporal_reasoning,1.0,18866.0,4717.0,50.0,134.0,4667.0,203.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,13,17,temporal_reasoning,0.25,29153.0,7288.0,50.0,157.0,6848.0,2987.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,0,abstention,0.0,23855.0,5964.0,50.0,3342.0,5229.0,1368.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,1,abstention,0.0,22872.0,5718.0,50.0,784.0,5621.0,507.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,2,contradiction_resolution,0.375,23888.0,5972.0,50.0,187.0,5461.0,335.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,3,contradiction_resolution,0.5,24300.0,6075.0,50.0,285.0,5441.0,357.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,4,information_extraction,1.0,26811.0,6703.0,50.0,82.0,6126.0,24.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,5,information_extraction,1.0,14815.0,3704.0,50.0,79.0,3830.0,82.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,6,instruction_following,1.0,34914.0,8729.0,50.0,2946.0,7791.0,1088.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,7,instruction_following,1.0,20135.0,5034.0,50.0,3256.0,4711.0,2188.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,8,knowledge_update,1.0,30038.0,7510.0,50.0,93.0,6986.0,133.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,9,knowledge_update,1.0,20372.0,5093.0,50.0,655.0,4946.0,399.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,10,multi_session_reasoning,0.5,25959.0,6490.0,50.0,141.0,6320.0,214.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,11,multi_session_reasoning,0.375,32132.0,8033.0,50.0,1481.0,7678.0,1911.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,12,preference_following,1.0,28925.0,7231.0,50.0,2957.0,6405.0,1091.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,13,preference_following,1.0,23020.0,5755.0,50.0,3642.0,5207.0,2791.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,14,summarization,0.875,19284.0,4821.0,50.0,7786.0,4643.0,4259.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,15,summarization,0.6875,29316.0,7329.0,50.0,23513.0,6482.0,9355.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,16,temporal_reasoning,1.0,16453.0,4113.0,50.0,197.0,3992.0,479.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,14,17,temporal_reasoning,1.0,21446.0,5362.0,50.0,184.0,4998.0,225.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,0,abstention,0.5,20313.0,5078.0,50.0,648.0,4897.0,511.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,1,abstention,1.0,25195.0,6299.0,50.0,56.0,6281.0,301.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,2,contradiction_resolution,0.875,24051.0,6013.0,50.0,342.0,5614.0,598.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,3,contradiction_resolution,0.75,24304.0,6076.0,50.0,318.0,6315.0,254.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,4,information_extraction,1.0,17032.0,4258.0,50.0,147.0,4279.0,295.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,5,information_extraction,0.4,24918.0,6230.0,50.0,1878.0,5848.0,1292.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,6,instruction_following,1.0,29291.0,7323.0,50.0,3050.0,6732.0,1658.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,7,instruction_following,1.0,26238.0,6560.0,50.0,2174.0,5933.0,948.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,8,knowledge_update,0.5,34151.0,8538.0,50.0,479.0,8191.0,1162.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,9,knowledge_update,1.0,27057.0,6764.0,50.0,161.0,6339.0,155.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,10,multi_session_reasoning,0.5,27060.0,6765.0,50.0,204.0,6361.0,582.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,11,multi_session_reasoning,1.0,30236.0,7559.0,50.0,3726.0,6971.0,2860.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,12,preference_following,0.6667,19274.0,4819.0,50.0,1702.0,4633.0,1378.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,13,preference_following,1.0,23942.0,5986.0,50.0,1407.0,5708.0,858.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,14,summarization,0.7,23621.0,5905.0,50.0,5711.0,5515.0,4919.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,15,summarization,0.6667,25347.0,6337.0,50.0,3139.0,5509.0,1594.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,16,temporal_reasoning,1.0,20615.0,5154.0,50.0,125.0,5028.0,182.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,15,17,temporal_reasoning,1.0,20543.0,5136.0,50.0,194.0,5048.0,345.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,0,abstention,1.0,31463.0,7866.0,50.0,56.0,7132.0,290.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,1,abstention,1.0,23525.0,5881.0,50.0,56.0,5538.0,105.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,2,contradiction_resolution,0.875,31703.0,7926.0,50.0,276.0,7184.0,1095.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,3,contradiction_resolution,0.625,23784.0,5946.0,50.0,545.0,5887.0,432.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,4,information_extraction,1.0,35812.0,8953.0,50.0,122.0,7613.0,136.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,5,information_extraction,0.875,26857.0,6714.0,50.0,1759.0,6042.0,1914.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,6,instruction_following,0.5,18821.0,4705.0,50.0,1420.0,4558.0,819.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,7,instruction_following,1.0,19338.0,4835.0,50.0,490.0,4573.0,630.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,8,knowledge_update,1.0,24293.0,6073.0,50.0,82.0,5831.0,188.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,9,knowledge_update,0.75,22460.0,5615.0,50.0,225.0,5220.0,506.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,10,multi_session_reasoning,1.0,21235.0,5309.0,50.0,1088.0,5047.0,699.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,11,multi_session_reasoning,1.0,16933.0,4233.0,50.0,107.0,4235.0,184.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,12,preference_following,0.75,27866.0,6967.0,50.0,2925.0,6242.0,2166.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,13,preference_following,0.625,28393.0,7098.0,50.0,2225.0,6387.0,1000.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,14,summarization,0.5833,25070.0,6268.0,50.0,9175.0,5616.0,4920.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,15,summarization,0.5,28739.0,7185.0,50.0,8030.0,6344.0,6861.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,16,temporal_reasoning,1.0,22850.0,5713.0,50.0,145.0,5476.0,259.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,16,17,temporal_reasoning,1.0,23762.0,5941.0,50.0,138.0,5747.0,138.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,17,0,abstention,0.75,30743.0,7686.0,50.0,56.0,6987.0,121.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,17,1,abstention,0.0,24203.0,6051.0,50.0,1876.0,5428.0,1398.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,17,2,contradiction_resolution,1.0,17236.0,4309.0,50.0,320.0,4183.0,351.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
